,Pickups,MedianIncome,TotalPopulation,Population_Density, Employment_Density,Percent_Zero_Car_Ownership,LandUse_Diversity,Distance_from_transit,Trip_Miles,Trip_Seconds,cluster
0,1163394,159538,7352,29.70334833,1102.545869,0.110656401,81.61577485,123.385,4.974631810031683,872.6040894142483,3
1,746423,181226,13379,88.34879698,323.0988481,0.255569469,8.958884479,183.7325,5.033371292149358,866.4115481436129,3
2,739580,210000,4138,14.67256542,58.21861561,0.016396017,7.827362538,301.08,3.9586857405554503,780.6008072149058,3
3,712078,145526,3831,55.19337672,181.8040685,0.331919661,7.036731377,97.9,4.0235241083139766,731.6204109662144,3
4,654056,246467,9919,63.27143092,192.1200884,0.622853746,6.110166747,210.11,3.6959079956456327,706.4528587766185,0
5,568682,211600,4585,72.26034147,377.2073503,0.423470429,8.443777157,181.4966667,4.569368293703687,818.9096718376878,3
6,499293,180539,19889,67.08887053,29.87490251,0.158378411,1.105838796,124.055,4.930841810319792,875.4247465916807,0
7,471694,184697,8046,133.5434902,245.8460276,0.269163504,3.183314096,161.8266667,4.751908440641603,823.0374458865281,0
8,466094,195677,6447,45.49380781,187.0879762,0.687382298,11.5004624,120.7,4.066316665736954,744.16563397083,0
9,424482,142569,6018,157.2812599,272.8307063,0.516363636,8.602189944,226.2033333,4.905418133159945,838.8908811209898,0
10,319988,250000,4500,109.3687691,236.0122538,0.364623955,3.789877223,259.7333333,4.220087628286061,815.3433847519282,0
11,319229,250000,2342,34.62500421,439.9863871,0.145990782,18.66022267,217.26,4.936356659326064,879.7697514950083,3
12,305295,180208,4000,115.1099115,152.8665851,0.251860628,1.832251901,109.97,4.214437183707562,761.5286951964493,0
13,288565,200771,4770,51.63024178,30.10390995,0.242864121,1.267242664,227.6525,3.5053724464158855,716.6285481607264,0
14,285840,195787,7250,33.15036505,45.23296473,0.013927665,3.101328299,167.1933333,3.96950076966135,750.9596032745592,0
15,274150,105060,3154,9.233413464,54.69787481,0.357637161,9.716068643,233.35,3.737518876527449,783.5843990516141,0
16,265100,250000,3204,32.03148283,366.1326453,0.293736397,52.02130682,99.24,4.924663145982648,846.3151716333459,3
17,257696,129196,8789,94.53904407,20.91767258,0.087285509,0.442374881,211.2275,4.176185505401714,770.5671993356514,0
18,246458,178881,4923,60.9612215,49.11798629,0.244761509,1.254481829,212.565,4.838916569963239,843.9945183357813,0
19,245916,129934,6540,10.98488087,20.24577535,0.106802635,9.039132632,146.185,5.069956001236195,819.8740830202183,0
20,241096,157708,5313,130.6556612,230.7047871,0.17928309,3.847836189,179.485,4.611729767395561,864.0638542323389,0
21,236955,185179,6065,80.58879833,19.86672378,0.284323324,0.457168698,181.0533333,3.6747407735646007,735.1541516321664,0
22,232084,143750,7439,123.4335028,55.57213543,0.234930423,0.909686952,109.3033333,3.756962565278089,724.3090044983712,0
23,206795,228750,5325,144.1555903,30.43042705,0.357954625,0.766775862,168.0866667,4.25328610459634,770.993771609565,0
24,204196,189896,5230,42.62880786,21.83474348,0.025210084,1.070769121,199.825,4.016121765362691,825.5912211796509,0
25,197947,148125,3358,8.506147392,15.26086944,0.256072083,4.979233908,122.045,3.566851733039652,717.1328992103947,0
26,196195,182543,3584,21.72029488,29.83607883,0.201136792,3.260007974,171.66,3.322564795229236,688.8847931904482,0
27,183075,246875,3780,25.88757461,21.1139594,0.071775321,2.816153462,256.6,3.5526090400109247,771.4455605626109,0
28,168374,140982,4092,181.5817039,141.706115,0.408582137,1.098940902,156.91,3.8179855559646976,752.2305878579829,0
29,149959,176250,2930,39.83469795,21.67253664,0.260270621,1.509984116,199.38,3.90162844510833,793.251582099107,0
30,142161,182969,3772,68.78697501,21.99766062,0.50530504,0.721531686,231.5666667,4.353234009327452,842.0562249843488,0
31,142124,183438,3448,46.54912001,42.05270775,0.327374094,2.15329803,203.85,4.168224930342518,844.9228560974923,0
32,138410,163182,4283,52.09040649,29.6654365,0.262849023,1.189873055,297.28,4.035643378368615,832.5169496423669,0
33,137417,173220,3302,82.88755235,32.16165133,0.217503218,0.628259756,140.37,3.736893543011418,747.0317791830705,0
34,136834,105769,1976,8.488108443,21.97031044,0.024173321,53.51350511,156.91,5.621590394200272,991.8235745501848,3
35,135685,221023,3575,44.37624566,15.503816,0.381920957,0.758715246,223.295,3.824706489295058,796.4898183292185,0
36,131911,196053,4745,82.89015571,28.38417323,0.479973446,0.697945527,121.035,3.9075232543154095,786.4848572143339,0
37,131526,174402,6897,118.3342188,10.26091488,0.40783158,0.158025488,157.5816667,4.696716238614419,854.7491294496906,0
38,128244,250000,6795,132.4363199,15.28534691,0.082533336,0.225233282,176.07,3.7889335953338943,762.3949736439912,0
39,125313,88770,7114,122.934826,8.71029233,0.102240896,0.137856332,228.794,4.884182806253142,879.8366410508088,0
40,125097,233947,3180,41.32050258,26.03676185,0.381786773,1.862049842,173.675,3.583186647161803,751.9086468900133,0
41,124004,127901,6837,85.29584106,14.33316251,0.182961991,0.691528742,107.02,5.131428018451017,894.5535627882972,0
42,116857,117188,2024,30.71823343,20.78726843,0.452865883,1.471336521,180.38,3.775105470789084,783.6570594829578,0
